item_id,cluster,pattern_type,forecast_strategy,wape_spec,wape_base,rmse_spec,rmse_base
FOODS_1_147,5,Intermittent,no_adjustment,1.0,1.0,0.07142857142857145,0.07142857142857145
HOUSEHOLD_2_258,0,Burst,no_adjustment,1.0294117647058822,1.0294117647058822,0.8504200642707612,0.8504200642707612
HOBBIES_1_212,0,Burst,no_adjustment,1.2755102040816322,1.2755102040816322,0.5922544268491784,0.5922544268491784
HOUSEHOLD_1_512,0,Burst,no_adjustment,0.0,0.0,0.0,0.0
HOUSEHOLD_1_018,4,Burst,no_adjustment,0.0,0.0,0.0,0.0
HOUSEHOLD_2_267,0,Burst,no_adjustment,0.9828571428571428,0.9828571428571428,2.638993314558738,2.638993314558738
HOBBIES_1_214,0,Burst,no_adjustment,1.8571428571428565,1.8571428571428565,0.4087686836521285,0.4087686836521285
HOBBIES_2_119,0,Burst,no_adjustment,3.1428571428571432,3.1428571428571432,0.2789374884252377,0.2789374884252377
HOUSEHOLD_2_392,0,Burst,no_adjustment,1.1333333333333333,1.1333333333333333,0.7319250547113999,0.7319250547113999
HOUSEHOLD_2_158,0,Burst,no_adjustment,0.9861751152073734,0.9861751152073734,1.3992527160114097,1.3992527160114097
HOUSEHOLD_2_202,0,Burst,no_adjustment,0.9120879120879118,0.9120879120879118,0.9897433186107873,0.9897433186107873
HOUSEHOLD_2_290,0,Burst,no_adjustment,1.9285714285714282,1.9285714285714282,0.671010508144855,0.671010508144855
FOODS_2_318,4,Burst,no_adjustment,0.0,0.0,0.0,0.0
FOODS_1_084,0,Burst,no_adjustment,1.3293650793650797,1.3293650793650797,0.9721898277725859,0.9721898277725859
HOUSEHOLD_2_087,0,Burst,no_adjustment,1.0,1.0,0.9063269671749655,0.9063269671749655
FOODS_3_315,4,Burst,no_adjustment,1.0,1.0,0.1889822365046136,0.1889822365046136
HOUSEHOLD_2_138,0,Burst,no_adjustment,1.1857142857142855,1.1857142857142855,0.7345344214715405,0.7345344214715405
HOUSEHOLD_2_412,0,Burst,no_adjustment,0.9603174603174602,0.9603174603174602,0.7249208260780156,0.7249208260780156
HOUSEHOLD_2_097,0,Burst,no_adjustment,1.0,1.0,0.9826297494426861,0.9826297494426861
HOUSEHOLD_2_204,0,Burst,no_adjustment,0.8010204081632654,0.8010204081632654,1.002547774829871,1.002547774829871
HOUSEHOLD_2_156,0,Burst,no_adjustment,1.833333333333333,1.833333333333333,0.9091372900969895,0.9091372900969895
HOUSEHOLD_2_278,0,Burst,no_adjustment,1.9428571428571435,1.9428571428571435,0.7457361792078965,0.7457361792078965
HOBBIES_1_107,0,Burst,no_adjustment,0.7964285714285714,0.7964285714285714,0.6477984695434662,0.6477984695434662
HOBBIES_2_134,0,Burst,no_adjustment,1.467532467532468,1.467532467532468,0.6738557951469004,0.6738557951469004
HOBBIES_1_120,0,Burst,no_adjustment,1.1428571428571428,1.1428571428571428,0.5658206970626736,0.5658206970626736
