item_id,cluster,wape_lgbm
FOODS_1_147,5,1.0
HOUSEHOLD_2_258,0,1.100799900183807
HOBBIES_1_212,0,3.459088803720849
HOUSEHOLD_1_512,0,1.0
HOUSEHOLD_1_018,4,1.0
HOUSEHOLD_2_267,0,0.7704850449860541
HOBBIES_1_214,0,8.650498500464863
HOBBIES_2_119,0,12.475747750697295
HOUSEHOLD_2_392,0,1.2358690801270669
HOUSEHOLD_2_158,0,0.6298145886871841
HOUSEHOLD_2_202,0,0.8558141582789028
HOUSEHOLD_2_290,0,2.8604495971579444
FOODS_2_318,4,1.0
FOODS_1_084,0,1.3034881079632368
HOUSEHOLD_2_087,0,1.0
FOODS_3_315,4,31.6979969822447
HOUSEHOLD_2_138,0,1.3592897051329986
HOUSEHOLD_2_412,0,0.9017212166137222
HOUSEHOLD_2_097,0,1.0
HOUSEHOLD_2_204,0,0.8205425224604348
HOUSEHOLD_2_156,0,2.114022230977818
HOUSEHOLD_2_278,0,2.0684053019441757
HOBBIES_1_107,0,0.7077033928862844
HOBBIES_2_134,0,1.9346899835225742
HOBBIES_1_120,0,1.2636305081730335
HOBBIES_1_302,0,2.065035541822436
HOUSEHOLD_2_502,0,0.6041046952982151
FOODS_3_321,4,0.8900258016444879
HOUSEHOLD_2_018,0,0.6683358122984414
HOUSEHOLD_1_261,0,0.6651190725115701
HOUSEHOLD_2_445,4,3.9701771758468793
FOODS_2_280,0,0.9349558726889972
HOUSEHOLD_2_306,0,2.0625692361756753
HOUSEHOLD_2_147,0,1.8567991515623596
HOUSEHOLD_2_094,0,1.290434074647277
HOUSEHOLD_2_026,0,1.5311134682160419
HOUSEHOLD_2_429,0,0.7426739219813848
HOBBIES_1_217,0,1.521624897758968
HOBBIES_2_079,0,1.3120122884878211
HOUSEHOLD_2_428,0,0.9277287474322191
HOUSEHOLD_2_042,0,1.3986677708195594
HOBBIES_1_311,4,1.0
HOUSEHOLD_2_134,0,0.8368001616071696
HOUSEHOLD_2_211,0,2.5415760098124287
HOUSEHOLD_2_083,0,0.8951254876037448
HOBBIES_2_143,0,1.7118870234105346
HOBBIES_1_192,0,0.7271509936514234
HOUSEHOLD_2_456,0,0.6500089584897967
HOBBIES_2_034,0,1.1631998383928304
HOBBIES_2_080,0,1.6590762704325843
FOODS_2_261,0,1.0
HOBBIES_2_055,0,1.5884998846511433
HOUSEHOLD_2_141,0,1.2942499423255716
HOUSEHOLD_2_106,0,0.90177390917976
FOODS_1_079,0,1.297776187971377
FOODS_3_724,4,31.6979969822447
HOUSEHOLD_2_210,0,1.220624550506976
FOODS_1_107,0,0.7872543468705598
HOBBIES_1_251,0,1.2018228461750138
FOODS_2_235,4,0.8125918469991678
HOBBIES_2_042,0,1.235941427885542
HOBBIES_2_001,0,1.0863978541010764
HOUSEHOLD_2_034,0,0.8874926691108108
HOUSEHOLD_2_004,0,0.7002832550777941
HOUSEHOLD_2_149,0,1.0000000000000004
FOODS_3_092,4,2.1456397678266534
HOBBIES_1_184,0,0.5223880597014925
HOUSEHOLD_2_304,0,0.8903992811620245
HOBBIES_2_066,0,0.9931588827195976
HOBBIES_2_056,0,0.832286518509675
HOUSEHOLD_2_010,4,2.023714142011652
HOUSEHOLD_2_446,0,3.165127070259255
HOUSEHOLD_2_006,0,8.012956958759458
FOODS_3_496,4,1.0
FOODS_3_548,0,0.8393727668938734
HOBBIES_2_049,0,1.0
HOUSEHOLD_2_192,0,1.0834995340167148
HOUSEHOLD_2_162,4,1.0
FOODS_1_164,0,0.8850326599786333
HOBBIES_2_093,0,0.7754439342918757
HOBBIES_2_013,0,0.7165705125813483
HOUSEHOLD_2_253,0,0.92188359287629
HOUSEHOLD_2_274,0,0.9307925420227444
FOODS_1_211,0,1.7838133774336131
HOBBIES_2_113,0,1.0160294474978173
HOUSEHOLD_2_494,0,0.6053088069361264
HOUSEHOLD_1_501,0,0.9753316656597064
HOBBIES_2_102,0,1.0797438618731363
HOUSEHOLD_2_393,0,1.635588486721035
HOBBIES_2_112,0,0.7577651940997301
HOUSEHOLD_2_503,0,1.2705681531249557
HOUSEHOLD_2_254,0,0.8825297032631346
HOUSEHOLD_2_292,0,0.9695762683415753
HOUSEHOLD_2_415,0,1.481349767789621
FOODS_3_165,0,0.8132849994953528
HOBBIES_2_068,0,0.8472497230490362
HOUSEHOLD_2_243,0,1.0775187332149143
HOUSEHOLD_2_208,0,2.3909997273572476
HOUSEHOLD_2_107,0,0.6854824281680555
HOBBIES_1_259,0,0.8271713431117433
FOODS_1_010,0,0.7959158172616503
HOUSEHOLD_2_504,0,1.0343533120634711
HOUSEHOLD_2_092,0,0.7393136958503028
HOBBIES_2_008,0,0.8029627822400978
HOUSEHOLD_2_351,0,0.7349648298131198
FOODS_2_084,4,1.2952247559968584
HOUSEHOLD_2_144,0,0.716305791574387
HOUSEHOLD_2_441,0,0.7630657528666959
HOBBIES_2_057,0,1.4755107660153193
HOBBIES_1_257,0,0.847502758077644
HOBBIES_2_039,0,1.0570830553680877
HOUSEHOLD_2_122,4,5.671142426034957
HOUSEHOLD_2_227,0,1.0450766028081115
FOODS_3_402,0,1.2550166166821621
HOUSEHOLD_2_125,0,8.650498500464863
HOUSEHOLD_2_105,0,0.7998067459497363
HOUSEHOLD_2_116,4,7.174499245561175
HOUSEHOLD_2_516,0,0.7547496337844557
HOUSEHOLD_1_406,4,1.0
HOUSEHOLD_2_168,0,0.513922721105154
FOODS_3_256,0,1.0564135678756075
HOUSEHOLD_2_099,0,0.735970327818836
HOUSEHOLD_2_362,0,0.6618887736780623
HOUSEHOLD_2_458,0,2.713324340480586
HOUSEHOLD_2_420,4,1.0
HOUSEHOLD_2_038,0,0.8335373666870981
HOBBIES_1_197,0,0.5918367346938775
HOBBIES_1_261,4,1.430293579623116
FOODS_2_243,0,0.607554411218712
HOUSEHOLD_2_460,0,1.0355498620013739
HOUSEHOLD_2_111,0,1.0
HOUSEHOLD_2_291,0,0.8252929142894437
HOBBIES_2_069,0,1.3712355268849148
HOUSEHOLD_2_224,0,0.6987983937153417
HOBBIES_2_006,0,0.7570482376841466
HOBBIES_2_122,0,1.5303148982347128
HOUSEHOLD_2_174,0,0.6867156397442215
FOODS_2_087,0,0.9173527759694328
HOUSEHOLD_2_236,0,0.6738565542455317
HOBBIES_2_074,0,0.6677267519391241
HOBBIES_2_020,0,0.6608462855529499
HOBBIES_2_022,0,1.2030835302940208
HOBBIES_2_052,0,0.848765916372777
HOUSEHOLD_2_334,0,2.408129289084111
HOBBIES_2_062,0,0.7507536725708126
HOUSEHOLD_2_294,0,1.6688168114941428
HOUSEHOLD_2_233,0,0.8220814302217474
FOODS_1_093,0,0.8452178976242394
FOODS_2_068,4,0.5555555555555556
HOBBIES_2_116,0,0.6150238280941748
HOUSEHOLD_2_474,0,1.118659984679445
HOBBIES_2_004,0,0.8231026720889961
FOODS_1_008,4,0.5075369307825521
HOBBIES_1_175,0,0.9343002350069126
FOODS_2_127,0,0.5929167880980899
HOBBIES_1_303,0,0.8253213024036733
FOODS_2_389,0,0.6515026966996744
FOODS_2_207,4,0.8781109962514656
HOBBIES_1_314,0,0.7032777377857958
FOODS_2_111,0,0.6210553116015534
HOUSEHOLD_2_249,0,1.135235937676917
HOBBIES_1_263,0,0.5741764367591453
HOUSEHOLD_1_092,0,0.71875
HOBBIES_1_112,0,0.7584775728854287
FOODS_2_305,0,0.5460551095849708
HOBBIES_2_133,4,0.8392495800955431
HOBBIES_1_383,0,0.580474705752347
HOBBIES_2_148,0,0.9443919411706573
HOBBIES_1_110,0,0.7116475947230355
HOUSEHOLD_2_422,0,0.6048525081452575
HOUSEHOLD_2_056,0,0.62140753294532
HOUSEHOLD_2_206,0,1.1404144784420942
HOUSEHOLD_2_195,4,0.7821212932318252
HOUSEHOLD_2_100,0,1.548574372534259
HOBBIES_1_118,0,0.6410256410256411
FOODS_3_343,0,0.824159256145716
HOBBIES_1_365,0,0.882809282494022
HOBBIES_1_403,0,0.560961279907947
FOODS_1_050,0,0.5912078880695228
HOBBIES_2_128,0,0.7391304347826086
HOUSEHOLD_2_357,0,1.5711994343749065
HOBBIES_1_290,0,0.9325183649040832
FOODS_1_191,0,3.2645265171900006
HOUSEHOLD_2_514,4,0.5228214081632302
HOBBIES_2_136,4,0.8128989652186597
HOUSEHOLD_2_339,4,0.7753288858618924
HOUSEHOLD_2_007,0,0.5561489386102209
HOBBIES_2_029,4,0.8078493905968763
HOUSEHOLD_2_407,0,0.6823987425306218
HOUSEHOLD_2_385,4,5.72707096153787
HOUSEHOLD_2_229,4,0.47468081441193044
HOUSEHOLD_2_466,4,1.2994322067971127
HOUSEHOLD_2_051,0,1.6749736852452997
HOBBIES_2_145,4,0.8301018658229411
HOUSEHOLD_2_223,4,0.6508065511078036
HOUSEHOLD_2_269,0,0.7611649996146297
HOUSEHOLD_1_108,0,0.7183080426565871
HOUSEHOLD_2_022,4,0.5021580761525379
HOUSEHOLD_2_055,0,0.5375083476836742
HOBBIES_2_105,0,0.7946287438481644
HOBBIES_1_287,4,1.3825057046287628
HOBBIES_1_405,0,0.6225319059966239
HOUSEHOLD_2_260,4,0.6057029848679781
HOUSEHOLD_2_436,0,0.5442846213178283
HOUSEHOLD_2_108,4,0.5736376990436127
FOODS_2_160,0,0.7438602355110333
FOODS_3_264,0,0.6938893477537974
HOBBIES_1_117,0,0.6419936552452502
HOUSEHOLD_1_015,0,1.4895995151784913
